brand,year,season,num,r,g,b,a
chanel,2019,spring,65,214,163,152,253
chanel,2019,spring,65,31,29,38,253
chanel,2019,spring,65,85,82,92,250
chanel,2019,spring,65,51,54,70,253
chanel,2020,spring,13,22,23,25,253
chanel,2020,spring,13,221,220,221,253
chanel,2020,spring,13,218,172,153,253
chanel,2020,spring,13,97,92,91,250
chanel,2018,fall,58,42,33,29,253
chanel,2018,fall,58,233,232,227,253
chanel,2018,fall,58,206,176,159,253
chanel,2018,fall,58,77,52,40,253
chanel,2018,fall,48,157,153,161,252
chanel,2018,fall,48,33,29,34,253
chanel,2018,fall,48,235,156,160,253
chanel,2018,fall,48,92,88,98,252
chanel,2021,spring,69,196,180,171,254
chanel,2021,spring,69,169,160,159,253
chanel,2021,spring,69,139,116,110,253
chanel,2021,spring,69,108,92,91,253
chanel,2020,spring,9,159,107,92,252
chanel,2020,spring,9,232,218,216,253
chanel,2020,spring,9,223,170,152,253
chanel,2020,spring,9,27,26,29,252
chanel,2019,fall,28,210,199,184,253
chanel,2019,fall,28,172,165,156,250
chanel,2019,fall,28,36,41,45,253
chanel,2019,fall,28,220,218,210,253
chanel,2020,spring,71,217,171,149,253
chanel,2020,spring,71,85,77,79,252
chanel,2020,spring,71,34,33,36,253
chanel,2020,spring,71,153,108,89,252
chanel,2020,spring,61,229,228,229,253
chanel,2020,spring,61,169,212,237,253
chanel,2020,spring,61,30,30,33,252
chanel,2020,spring,61,8,10,11,154
chanel,2019,fall,38,203,35,149,254
chanel,2019,fall,38,179,41,149,253
chanel,2019,fall,38,211,82,173,253
chanel,2019,fall,38,163,6,105,253
chanel,2019,spring,17,222,217,227,253
chanel,2019,spring,17,166,155,166,248
chanel,2019,spring,17,163,173,205,252
chanel,2019,spring,17,156,102,87,252
chanel,2020,fall,62,230,225,216,253
chanel,2020,fall,62,216,199,182,253
chanel,2020,fall,62,207,178,165,253
chanel,2020,fall,62,174,166,159,251
chanel,2019,spring,5,215,99,157,253
