brand,year,season,num,r,g,b,a
kenzo,2021,spring,26,164,166,160,252
kenzo,2021,spring,26,27,32,35,253
christian-dior,2021,spring,78,232,231,235,253
christian-dior,2021,spring,78,169,161,155,249
christian-dior,2021,spring,78,79,50,38,252
christian-dior,2021,spring,78,37,30,23,250
dsquared,2021,fall,21,90,39,32,253
dsquared,2021,fall,21,44,21,21,253
dsquared,2021,fall,21,230,202,175,253
dsquared,2021,fall,21,218,172,149,253
versace,2021,spring,43,247,233,6,254
versace,2021,spring,43,243,147,22,253
versace,2021,spring,43,240,105,11,253
versace,2021,spring,43,108,210,116,253
christian-dior,2021,spring,68,227,221,219,254
christian-dior,2021,spring,68,169,156,159,253
christian-dior,2021,spring,68,78,38,47,253
christian-dior,2021,spring,68,37,24,32,253
dsquared,2021,fall,31,240,225,204,253
dsquared,2021,fall,31,228,157,106,249
dsquared,2021,fall,31,30,21,10,246
dsquared,2021,fall,31,238,156,23,253
michael-kors-collection,2021,spring,10,79,107,49,254
michael-kors-collection,2021,spring,10,53,77,35,254
michael-kors-collection,2021,spring,10,170,102,79,253
michael-kors-collection,2021,spring,10,33,42,18,252
versace,2021,spring,53,250,201,233,253
versace,2021,spring,53,240,181,217,253
versace,2021,spring,53,225,164,155,253
versace,2021,spring,53,91,46,30,252
gucci,2021,spring,5,103,137,157,253
gucci,2021,spring,5,145,152,153,253
gucci,2021,spring,5,95,106,97,251
gucci,2021,spring,5,17,30,26,251
miu-miu,2021,spring,16,249,225,204,253
miu-miu,2021,spring,16,226,181,142,252
miu-miu,2021,spring,16,50,33,22,253
miu-miu,2021,spring,16,234,206,169,253
bevza,2021,fall,9,216,197,172,254
bevza,2021,fall,9,205,183,157,254
bevza,2021,fall,9,34,27,24,253
bevza,2021,fall,9,172,142,116,253
prada,2021,spring,19,141,75,41,253
prada,2021,spring,19,230,228,224,253
prada,2021,spring,19,100,48,18,252
prada,2021,spring,19,25,18,11,251
hermes,2021,spring,38,160,107,104,247
hermes,2021,spring,38,28,27,30,161
hermes,2021,spring,38,91,84,90,238
hermes,2021,spring,38,14,16,22,253
miu-miu,2021,spring,20,117,71,40,252
miu-miu,2021,spring,20,89,45,22,252
miu-miu,2021,spring,20,44,23,14,251
miu-miu,2021,spring,20,148,84,43,253
hermes,2021,spring,28,197,171,160,254
hermes,2021,spring,28,181,159,150,253
hermes,2021,spring,28,43,31,29,252
hermes,2021,spring,28,148,114,100,250
miu-miu,2021,spring,30,248,211,152,253
miu-miu,2021,spring,30,244,163,98,253
miu-miu,2021,spring,30,30,29,24,253
miu-miu,2021,spring,30,245,240,221,253
kenzo,2021,spring,10,136,181,211,253
kenzo,2021,spring,10,119,166,199,254
kenzo,2021,spring,10,101,144,176,253
kenzo,2021,spring,10,77,118,148,253
valentino,2021,spring,46,211,173,154,253
valentino,2021,spring,46,77,45,33,253
valentino,2021,spring,46,44,33,27,253
valentino,2021,spring,46,222,96,48,253
philosophy,2021,spring,30,235,73,95,253
philosophy,2021,spring,30,167,19,24,253
philosophy,2021,spring,30,204,40,49,253
philosophy,2021,spring,30,6,18,19,252
fendi,2021,spring,19,226,226,220,254
fendi,2021,spring,19,204,200,183,253
